,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-27,25.77,22.52,38.78,35.12,121.31,42.85,36.16,24.96,18.21,41.54,23.03,36.61,114.53,26.58,26.47,43.52,10.51,26.31,11.31,83.12,18.9,31.1,18.5,51.0,12.61,22.7,92.21,56.12,18.77,23.13,28.2,37.44,29.89,29.94,8.78,23.18,17.76,23.0,15.85,19.71,17.38,4.91,8.49,78.15,43.37,65.78,33.92,27.65,45.36,32.91,10.73,5.27,5.1,13.89,59.06,30.07,47.23,17.3,38.46,16.1
2009-04-28,25.56,22.45,38.77,34.56,120.5,43.66,35.07,24.19,17.79,41.74,22.65,37.02,114.32,26.41,27.15,43.49,10.43,25.77,11.22,82.4,18.54,31.62,18.52,50.29,13.0,22.64,94.04,56.62,18.02,23.14,29.02,37.8,29.35,29.31,8.02,22.18,18.02,23.17,15.52,20.08,17.44,4.99,8.29,76.5,43.13,64.99,34.32,27.64,44.77,32.88,10.52,5.33,5.18,13.64,59.9,30.08,47.27,17.58,38.05,16.42
2009-04-29,26.07,23.19,39.84,36.08,121.71,44.02,36.96,24.73,18.08,41.54,23.5,35.3,120.48,26.73,28.18,45.26,10.62,26.14,11.25,79.79,20.39,32.35,18.71,51.15,13.96,23.92,95.98,57.96,18.47,23.56,29.03,38.41,30.16,29.63,8.54,23.34,18.19,23.41,15.87,20.5,17.17,5.24,8.94,77.89,43.76,66.64,34.59,28.1,47.18,33.84,10.88,5.49,5.37,14.02,61.12,31.63,47.16,18.13,38.34,16.88
2009-04-30,25.75,23.44,39.03,35.63,122.38,43.42,37.8,24.66,18.09,41.15,24.75,34.96,121.73,26.42,28.45,45.22,10.99,25.86,11.2,80.52,21.04,32.32,18.86,51.22,14.16,23.94,95.22,56.71,18.51,23.46,29.95,37.49,31.86,30.21,8.79,22.85,18.07,23.39,16.49,20.61,16.62,5.75,9.05,78.72,42.91,66.17,36.88,29.06,45.71,33.4,11.24,5.42,5.56,14.29,59.54,30.28,46.19,18.19,38.12,16.57
2009-05-01,26.69,22.58,39.41,36.66,123.75,43.44,40.19,24.54,18.07,41.66,25.65,34.45,120.39,27.49,28.54,44.91,11.03,26.41,11.38,78.96,20.21,32.3,18.6,51.47,14.99,23.96,96.51,57.37,18.14,23.44,30.4,38.84,33.36,32.04,8.56,22.85,18.9,22.9,16.39,20.69,17.3,5.47,9.21,78.73,42.96,68.75,38.01,29.26,46.33,33.9,11.46,5.48,5.86,14.14,60.73,29.81,45.42,18.44,38.9,16.66
2009-05-04,27.55,25.35,40.54,37.53,128.45,42.84,42.65,24.81,18.03,42.15,26.83,35.83,127.09,27.88,28.53,45.61,11.38,27.23,11.72,79.77,21.41,32.89,18.91,52.0,15.25,24.4,97.96,57.21,22.43,24.72,30.19,39.95,34.45,32.83,10.21,24.17,20.23,23.3,16.76,21.37,18.31,5.65,9.58,81.14,44.26,67.7,38.76,30.27,47.77,34.48,11.88,5.78,5.97,14.18,60.9,32.84,45.74,18.36,39.4,17.56
2009-05-05,26.98,24.69,41.02,38.39,129.07,43.39,42.0,24.5,17.67,41.8,26.42,35.32,128.08,27.56,28.44,45.27,11.38,27.25,11.97,81.9,21.7,32.14,18.9,51.96,14.89,24.18,97.65,56.41,21.52,24.45,29.97,39.57,35.28,32.87,10.66,28.64,20.14,23.28,16.3,22.21,18.32,5.63,9.51,81.78,43.22,67.14,38.0,30.31,47.43,34.16,11.47,5.82,5.93,14.74,60.41,31.95,46.08,18.48,39.38,17.08
2009-05-06,27.77,25.22,41.09,39.71,128.86,43.38,43.42,24.89,17.67,42.69,27.39,35.08,131.89,27.47,28.25,44.42,11.88,27.74,11.79,81.99,21.64,32.91,18.81,52.59,14.66,24.42,97.02,58.43,24.88,24.19,30.12,40.32,35.81,33.52,12.48,30.46,20.66,23.14,16.72,22.02,18.98,6.02,9.67,83.07,44.13,67.82,37.65,30.88,47.98,33.73,11.5,5.93,6.08,14.85,61.24,34.15,46.54,18.47,39.58,17.28
2009-05-07,27.47,24.14,40.97,39.11,125.52,43.18,40.91,24.65,17.25,43.3,26.4,34.41,126.69,27.7,27.62,44.76,12.13,27.25,12.0,79.28,20.48,32.65,18.75,52.26,14.37,24.54,95.14,58.32,22.95,23.47,29.96,40.57,33.95,33.59,13.29,32.28,20.47,22.76,16.05,22.06,18.33,5.83,10.1,79.79,44.56,67.14,37.35,30.05,47.47,32.06,10.71,6.17,5.99,14.8,61.56,32.33,46.28,17.84,38.5,18.83
2009-05-08,29.46,26.4,41.66,41.18,125.64,43.41,41.25,24.78,17.34,43.5,26.76,36.03,132.24,27.68,28.41,44.99,12.63,27.94,12.2,77.95,21.36,32.71,18.8,53.44,14.43,25.14,94.12,60.38,26.12,23.87,30.27,42.33,35.49,34.84,13.94,33.28,20.85,22.66,15.79,22.49,19.52,6.0,10.26,78.73,44.76,69.49,37.51,29.89,49.43,32.2,10.46,6.84,6.08,15.15,63.23,35.73,47.6,17.64,39.84,19.15
