,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-10-23,33.32,32.55,40.62,45.25,198.34,54.12,35.41,32.65,25.32,52.68,40.39,48.3,171.67,35.2,35.63,45.75,13.4,28.91,14.77,118.49,24.48,44.24,23.71,70.32,13.93,32.68,112.14,67.09,27.23,28.72,35.17,49.19,52.6,39.08,15.98,32.2,25.85,23.76,21.55,24.36,17.59,7.34,12.52,77.66,50.81,61.72,44.66,30.48,59.65,45.26,14.97,4.99,7.25,17.22,66.5,41.61,52.4,22.76,39.85,26.87
2009-10-26,32.53,32.84,40.25,43.8,196.92,53.62,35.32,32.7,25.91,52.59,40.15,47.56,170.73,35.07,35.5,45.2,13.23,29.16,14.66,124.64,24.46,43.48,23.71,69.41,13.72,31.75,111.9,66.01,26.42,28.02,34.55,48.16,52.11,38.96,15.17,30.01,25.8,23.61,21.73,24.05,17.25,7.18,12.3,78.25,50.16,61.11,44.89,31.03,59.08,44.61,14.87,5.01,7.15,16.87,66.19,40.31,52.2,22.32,40.64,26.43
2009-10-27,32.95,33.84,40.26,43.31,191.95,54.09,34.78,33.16,25.83,52.64,38.88,47.75,170.01,35.26,34.4,45.23,13.16,29.22,14.78,122.07,23.31,44.35,23.81,68.67,13.6,32.07,112.41,67.01,26.36,28.24,34.1,48.47,51.77,38.12,15.22,28.15,25.52,23.52,21.83,24.07,16.5,7.05,12.28,79.15,50.41,59.86,44.86,32.53,58.92,44.08,14.79,5.01,7.1,16.69,67.71,40.38,52.04,22.17,40.85,26.48
2009-10-28,32.04,32.64,39.9,42.83,187.12,54.08,32.96,32.95,25.32,52.21,37.22,43.03,163.87,35.18,33.85,45.26,12.71,28.63,14.73,121.64,22.3,44.0,23.83,67.28,13.55,31.77,113.2,66.4,25.5,27.73,33.7,47.44,49.7,37.25,14.79,29.25,24.84,22.8,21.61,24.27,15.91,6.69,11.9,77.73,50.45,58.42,44.48,31.8,57.59,43.74,14.11,5.0,6.89,16.04,66.74,39.26,51.7,21.68,40.44,26.1
2009-10-29,33.23,34.31,40.13,44.27,190.96,54.44,33.95,33.6,25.5,52.81,37.86,43.87,169.98,35.75,35.04,45.71,13.11,30.54,15.02,122.58,23.41,44.7,24.09,68.2,13.88,31.73,114.48,68.2,26.53,28.49,34.46,48.46,52.28,38.58,15.5,30.01,25.75,23.43,22.05,24.81,16.11,7.02,12.5,80.08,52.49,59.42,45.71,32.36,57.01,45.06,14.44,5.47,7.09,16.13,66.85,40.8,52.14,22.15,40.59,27.3
2009-10-30,32.49,32.8,39.61,43.36,183.33,53.69,33.14,33.39,25.06,52.32,36.81,42.25,161.97,35.61,34.52,45.06,12.57,29.39,14.58,118.81,22.55,44.29,23.74,66.48,13.41,30.78,112.37,66.97,25.55,27.5,33.41,46.59,50.28,37.66,14.36,27.83,25.29,22.69,21.61,24.78,15.4,6.73,12.23,78.89,51.13,58.82,45.86,30.97,56.16,44.23,13.98,5.31,6.92,15.9,64.78,38.43,51.68,21.48,40.23,26.61
2009-11-02,32.36,33.59,40.01,43.78,184.11,53.74,33.49,33.03,25.19,53.68,36.93,42.93,162.46,35.65,35.32,45.6,12.75,28.9,14.51,118.84,22.52,44.62,23.93,67.12,13.42,30.43,112.32,67.05,25.64,27.89,33.84,46.84,50.67,37.78,14.41,28.4,25.32,22.67,21.61,24.89,15.1,7.29,12.4,79.12,51.97,58.89,46.04,31.16,56.45,44.88,13.97,5.41,6.89,15.85,65.21,39.17,52.16,21.66,40.57,26.63
2009-11-03,32.86,33.93,40.02,43.63,183.57,53.26,34.92,32.81,24.88,53.04,37.75,43.49,163.34,35.12,35.08,45.26,12.62,29.01,14.46,118.37,22.82,44.45,23.66,66.92,13.42,30.28,112.88,67.11,25.76,28.13,33.53,47.16,51.56,37.74,14.58,32.47,25.33,22.61,21.63,24.8,15.28,7.16,12.8,79.07,51.64,59.34,45.47,31.14,56.02,44.28,14.11,5.39,6.95,15.7,64.84,39.28,52.23,21.57,40.22,26.34
2009-11-04,33.18,33.85,40.44,43.99,185.57,53.54,34.19,33.1,25.35,53.6,37.39,43.38,161.33,35.48,36.03,45.69,12.51,28.69,14.63,117.1,22.81,44.54,23.82,66.93,13.0,30.84,113.0,66.74,24.95,27.82,34.22,47.71,51.34,37.53,14.48,29.97,25.27,22.58,21.72,24.02,15.06,6.99,12.56,79.46,52.04,60.19,46.09,31.47,57.19,44.51,14.1,5.28,7.29,15.69,64.44,38.83,53.16,21.93,40.51,26.49
2009-11-05,33.63,35.53,41.19,45.54,188.7,54.3,34.84,33.23,25.73,54.37,38.41,43.95,165.05,36.05,36.56,46.51,12.72,28.73,14.71,120.61,23.48,44.83,24.23,68.18,13.13,30.89,114.69,67.58,25.39,28.85,27.33,48.53,52.95,37.49,14.91,32.52,26.14,23.18,22.29,24.34,15.08,7.16,13.13,80.58,53.31,62.3,46.47,31.32,58.57,45.53,14.42,5.43,7.3,15.9,65.53,40.36,54.21,22.53,41.53,26.25
2009-11-06,33.74,35.03,41.62,45.46,189.01,54.77,34.55,33.28,25.77,54.51,38.36,43.59,163.5,36.18,36.11,46.48,13.51,28.87,14.66,126.2,23.52,45.02,24.27,68.14,13.49,30.6,115.57,67.83,25.23,28.85,28.2,48.4,52.6,37.82,14.83,29.37,26.04,23.59,22.16,24.12,14.84,7.45,13.18,78.16,53.81,63.08,46.44,31.16,58.74,45.82,14.37,5.4,7.29,15.94,65.6,40.0,54.42,22.43,42.03,26.3
2009-11-09,34.22,36.76,42.14,46.99,195.93,55.23,35.66,33.97,26.19,54.84,39.51,44.03,168.06,36.79,36.54,47.16,13.97,29.49,15.06,126.67,24.19,45.68,24.71,69.76,14.01,31.61,117.92,67.95,26.42,29.91,29.25,49.74,54.79,38.27,15.54,29.95,26.57,24.25,22.7,23.89,14.87,7.87,13.58,79.12,54.53,64.63,46.86,32.0,60.29,46.59,15.03,5.53,7.42,16.02,66.23,40.8,55.23,22.59,43.28,26.92
2009-11-10,34.69,37.36,42.31,46.05,197.41,55.05,35.65,33.96,26.21,54.98,39.58,43.81,168.01,36.9,36.14,47.44,13.91,29.23,15.18,130.15,24.21,45.8,24.86,70.47,13.73,31.59,118.77,68.54,26.14,29.52,28.26,49.9,54.75,38.1,15.79,31.12,26.62,24.26,23.09,24.14,14.83,7.92,13.48,76.4,54.53,63.79,47.0,31.81,59.62,46.56,14.9,5.57,7.21,16.04,66.01,40.63,54.91,22.27,43.31,27.14
2009-11-11,34.42,37.7,42.74,46.38,197.67,55.51,35.4,33.86,26.31,54.76,40.39,44.52,171.19,37.01,35.92,48.04,13.95,29.0,15.23,129.91,24.47,45.59,25.0,70.44,13.96,31.68,119.03,68.69,26.79,29.83,28.4,50.11,54.84,38.3,16.19,30.42,26.79,24.7,23.35,24.15,14.97,8.01,13.27,76.79,54.86,64.2,46.92,32.23,59.98,46.6,15.08,5.72,7.26,16.09,66.28,40.77,55.4,22.52,44.0,27.13
2009-11-12,33.81,37.19,42.48,46.01,196.45,54.33,35.41,34.05,26.53,54.4,39.26,44.17,169.88,36.46,35.82,48.29,13.88,28.24,15.23,130.53,24.07,45.02,24.92,69.76,14.18,31.65,118.16,67.74,26.25,29.62,28.08,49.27,53.48,37.56,15.82,30.02,26.48,24.64,23.38,24.17,14.6,7.89,13.14,77.72,54.04,63.36,47.12,31.98,59.76,46.32,14.95,5.63,7.22,16.0,65.36,39.83,54.81,22.03,43.83,26.89
2009-11-13,34.2,37.99,42.89,46.38,198.84,54.93,35.64,34.03,26.77,54.79,39.57,44.89,168.24,36.91,36.06,48.25,13.8,28.35,15.2,132.97,24.26,45.39,25.15,69.86,14.27,31.86,118.88,68.19,25.75,30.0,28.63,50.0,53.67,37.99,15.74,30.12,26.83,24.73,23.45,24.24,14.64,8.09,13.43,78.25,54.31,65.04,47.49,32.18,60.62,46.52,14.9,5.19,7.23,15.93,65.88,39.46,56.06,22.33,44.36,27.03
2009-11-16,34.86,39.01,43.57,48.02,200.96,55.36,36.0,34.41,26.69,55.46,40.07,45.66,168.71,37.32,36.08,48.22,14.1,28.63,15.5,131.59,24.95,46.08,25.27,70.5,14.66,32.47,119.99,69.38,26.24,30.56,28.57,50.76,55.15,38.33,15.64,29.59,27.16,25.01,23.92,24.88,14.65,8.38,14.0,80.2,54.9,65.82,47.5,32.52,61.09,47.35,15.44,5.38,7.37,16.07,67.66,39.59,56.89,22.48,44.95,27.6
2009-11-17,34.76,38.94,43.93,48.07,201.32,55.51,35.58,34.35,27.23,55.85,39.39,45.81,168.09,37.52,36.03,48.67,14.12,28.45,15.5,131.25,24.71,45.62,25.33,71.18,14.34,32.07,120.38,69.56,26.39,30.86,28.81,50.57,54.68,38.91,15.54,29.88,27.33,24.41,23.84,24.89,14.48,8.64,13.99,80.31,54.93,65.25,47.51,32.26,60.85,47.83,15.43,5.48,7.35,16.05,68.21,39.7,56.05,22.68,44.97,27.66
2009-11-18,34.69,39.14,44.1,47.6,200.31,55.25,36.03,34.29,27.33,55.72,39.51,45.71,168.38,38.89,35.77,49.11,14.18,28.25,15.72,131.29,24.36,45.81,25.2,70.76,13.99,32.03,119.93,69.66,26.85,30.83,29.05,50.58,54.25,38.63,16.11,29.93,27.56,24.68,23.73,24.55,14.43,8.6,13.94,79.39,55.02,64.44,47.46,31.77,60.31,47.05,15.54,5.36,7.3,15.98,68.43,39.91,56.41,22.6,44.56,27.47
2009-11-19,34.03,38.73,43.59,47.06,195.01,54.87,34.54,34.06,27.03,55.4,38.54,44.98,164.5,38.24,35.74,49.47,13.89,26.98,15.65,128.99,23.83,45.44,25.33,70.26,13.91,31.41,119.36,68.26,26.34,30.26,29.42,49.99,53.52,37.11,15.84,29.52,27.12,24.52,22.93,24.29,14.04,8.4,13.81,77.51,54.79,64.37,47.14,30.46,59.45,46.43,15.35,5.13,7.16,15.61,67.86,39.14,55.91,22.3,43.74,27.07
2009-11-20,33.72,38.53,44.26,47.31,194.43,55.05,33.42,34.11,26.88,55.4,37.58,44.55,161.82,38.03,35.69,49.23,13.74,26.8,15.87,129.66,23.59,45.3,25.6,69.7,13.88,31.41,118.82,67.76,25.93,30.18,29.95,49.29,52.92,38.03,15.85,29.06,26.57,24.58,22.8,24.47,14.13,8.31,13.69,76.97,54.48,65.07,47.26,30.57,59.54,46.64,13.82,5.31,7.2,15.38,67.62,39.06,56.4,22.09,44.14,26.96
2009-11-23,33.91,39.19,45.0,48.16,200.23,55.42,33.33,34.61,27.17,56.19,38.3,45.16,163.71,38.3,36.1,49.59,14.12,27.31,16.01,133.0,23.7,46.68,25.94,70.69,13.95,32.2,119.98,69.5,26.11,30.4,30.18,50.5,53.09,38.37,16.05,29.2,26.95,24.88,23.17,24.62,13.93,8.4,13.53,77.48,55.3,66.08,47.93,30.72,60.48,47.55,14.31,5.34,7.29,15.45,68.82,39.81,56.42,22.51,44.98,27.34
2009-11-24,34.11,39.01,45.18,47.56,198.83,55.42,32.76,34.72,27.15,56.26,37.93,44.71,162.89,38.53,36.08,49.75,14.21,26.62,15.82,132.94,23.06,47.15,25.92,70.58,13.98,32.21,119.73,69.75,25.92,30.32,29.91,50.91,52.96,37.64,15.86,28.97,26.56,24.93,23.3,24.51,13.74,8.47,13.52,76.05,55.36,66.32,47.97,30.35,60.3,46.78,13.85,5.16,7.29,15.24,69.06,39.08,56.62,22.35,44.9,27.44
2009-11-25,34.25,39.28,45.51,48.43,198.59,56.04,32.66,35.21,27.04,56.47,37.98,45.44,160.78,38.25,35.92,49.85,14.26,27.46,16.07,134.03,23.41,47.62,25.88,70.86,13.94,32.9,119.12,70.29,25.89,30.74,29.84,51.3,53.91,38.33,15.71,28.71,26.45,25.19,23.43,24.14,14.03,8.47,13.67,77.86,55.43,67.21,47.74,31.75,61.02,46.65,13.89,5.13,7.28,15.3,69.52,38.78,56.82,22.35,45.21,27.57
2009-11-27,33.62,38.45,45.17,47.99,195.08,55.25,32.18,34.71,26.52,56.09,37.06,44.57,156.25,37.88,35.72,49.55,14.05,26.68,15.77,131.74,22.8,47.22,25.65,69.8,13.76,32.04,117.64,68.99,25.25,30.08,29.53,49.91,52.46,37.28,15.24,27.57,26.06,24.97,23.27,23.99,13.73,8.4,13.4,77.02,55.08,66.46,47.13,31.04,60.08,45.73,13.68,5.22,7.17,15.0,68.06,38.02,56.56,22.02,44.48,26.89
2009-11-30,33.52,39.38,45.08,47.96,194.42,55.18,33.01,34.06,26.69,56.44,37.01,44.67,161.83,38.13,35.61,49.48,14.12,26.69,15.7,135.91,23.22,47.41,25.66,70.43,13.56,31.65,118.25,68.88,26.08,30.24,29.35,49.51,53.32,38.22,15.62,23.51,25.95,24.75,23.31,23.94,13.63,8.55,13.38,78.54,54.97,66.57,47.12,30.99,59.03,45.72,13.66,5.49,7.08,14.97,68.25,39.09,56.25,22.03,44.32,26.87
2009-12-01,33.84,38.88,45.32,49.16,191.56,56.64,34.66,34.83,27.24,57.17,37.56,44.97,159.9,38.84,36.05,49.66,14.25,27.44,16.29,138.5,23.25,47.88,26.05,71.51,13.83,32.78,119.74,69.78,26.04,30.7,29.51,50.59,54.5,39.26,15.67,25.53,26.36,25.54,23.91,23.87,13.8,8.54,13.46,81.45,55.46,68.03,47.47,32.36,60.14,46.22,13.39,5.69,7.2,15.13,69.13,38.84,56.5,22.52,44.69,27.69
2009-12-02,33.56,38.64,45.4,49.21,190.84,56.84,32.42,34.8,27.03,57.66,37.81,43.26,158.97,39.1,34.98,49.49,14.16,27.0,16.2,142.25,23.16,47.55,26.0,71.31,13.82,33.14,119.05,69.49,25.54,30.94,29.45,50.76,53.82,38.63,15.43,25.82,26.1,25.84,23.93,23.97,13.74,8.67,13.27,81.98,55.71,67.4,47.49,33.06,60.09,45.65,13.21,5.56,7.17,15.31,68.9,38.57,55.58,22.48,44.7,27.88
2009-12-03,33.13,36.59,45.09,49.2,191.09,56.05,32.88,34.85,27.07,57.0,37.24,43.18,156.72,38.79,34.61,49.38,14.1,27.98,16.11,141.17,23.31,47.56,25.69,70.16,14.71,32.95,119.37,68.81,24.64,30.46,29.15,50.68,53.14,39.67,15.54,24.74,26.28,25.47,24.37,23.79,13.7,8.6,13.27,84.59,55.15,66.77,47.25,33.61,59.81,45.63,13.02,5.53,7.14,15.11,68.17,38.08,55.11,22.44,44.41,27.93
2009-12-04,32.8,37.0,46.06,50.04,188.01,57.02,32.76,35.11,27.21,56.86,38.83,42.95,159.52,38.59,34.67,49.2,14.28,28.52,15.98,137.58,24.53,47.36,25.79,71.16,14.92,32.83,119.09,68.91,25.08,28.28,29.11,50.73,53.24,41.04,16.05,24.93,26.54,25.61,24.75,23.93,14.08,8.6,13.35,84.3,55.19,67.41,47.46,34.29,60.49,46.4,13.02,5.57,7.28,15.19,67.5,38.4,54.77,22.75,45.2,27.86
2009-12-07,32.9,37.1,46.18,51.08,183.76,57.36,33.15,35.02,27.04,56.28,38.37,42.35,156.29,37.58,34.5,49.82,14.17,28.45,15.61,134.21,24.17,47.32,25.96,70.86,15.97,32.33,118.89,68.99,24.52,28.33,29.2,50.65,52.56,41.33,15.67,24.97,26.46,25.74,24.54,24.03,14.04,8.57,13.65,82.9,55.07,67.81,47.39,33.77,60.8,45.86,12.86,5.5,7.27,15.45,67.06,37.95,55.07,22.8,45.37,27.78
2009-12-08,32.33,36.84,45.81,50.93,184.66,56.69,34.32,34.53,26.84,56.04,37.94,41.5,154.37,37.14,33.96,49.35,13.85,28.67,15.35,134.11,24.27,47.18,25.87,70.13,16.05,32.29,118.67,67.75,24.21,27.66,28.93,49.55,51.48,41.28,15.19,24.83,25.89,25.23,24.27,24.01,13.9,8.48,13.68,83.6,54.54,66.94,47.15,33.78,60.74,45.61,12.39,5.59,7.17,15.45,66.32,37.91,53.9,22.42,44.49,27.06
2009-12-09,32.51,37.54,45.32,50.76,192.37,55.19,34.23,34.16,26.96,55.35,38.0,41.57,158.76,37.37,35.01,49.29,13.8,28.43,15.76,131.31,24.17,46.62,25.94,72.52,16.22,32.31,120.16,68.01,24.15,27.63,29.37,49.54,51.3,41.29,15.17,24.55,26.5,25.12,23.96,24.06,13.96,8.52,13.82,84.02,54.87,64.99,47.31,33.68,60.82,46.55,12.68,5.38,7.27,15.18,66.17,37.89,53.89,22.47,44.0,27.12
2009-12-10,32.95,37.87,45.69,50.34,191.04,55.23,34.56,34.54,27.11,55.78,37.95,41.32,159.04,37.51,35.11,49.85,13.76,28.34,15.83,135.38,24.39,46.18,26.28,73.37,16.26,32.47,121.05,68.33,23.55,27.91,29.81,49.84,51.99,42.2,15.0,23.95,27.6,25.53,23.91,24.03,14.37,8.7,13.99,83.42,54.87,65.49,47.48,33.4,60.91,46.73,12.8,5.22,7.25,15.49,65.82,37.97,54.29,22.54,44.31,27.6
2009-12-11,32.97,38.34,46.14,50.88,189.33,54.72,34.28,34.69,27.09,55.86,38.07,41.79,158.34,38.01,35.54,49.82,14.03,29.0,15.82,134.15,24.44,45.9,26.51,74.35,16.31,32.1,121.36,68.63,23.64,28.19,30.5,50.05,52.51,42.18,15.41,23.48,27.72,25.98,23.63,24.13,14.25,8.66,13.95,84.34,54.96,66.18,48.12,33.85,61.81,46.65,12.69,5.13,7.29,15.74,66.21,37.68,54.83,22.38,44.61,27.85
2009-12-14,33.08,38.86,46.75,51.29,191.57,54.46,36.03,35.24,27.33,56.14,39.25,42.39,158.44,38.27,34.99,49.29,14.06,29.3,15.9,131.38,25.02,46.22,26.48,74.49,16.25,32.31,121.6,68.19,23.71,28.6,30.63,50.22,53.24,42.33,15.41,24.07,27.57,26.33,23.95,24.29,14.41,8.73,13.9,83.49,55.55,67.08,48.0,34.01,63.29,47.31,12.75,4.98,7.56,15.81,63.35,38.43,55.26,22.45,45.8,27.98
2009-12-15,32.8,38.56,46.66,50.94,188.84,54.47,35.58,35.18,27.25,56.12,39.26,41.75,155.23,38.27,34.67,49.21,13.88,28.99,15.81,130.23,25.1,45.84,26.49,75.21,16.25,32.23,120.25,68.29,23.87,28.15,30.06,50.04,53.14,41.91,14.98,23.95,27.32,26.47,23.45,24.16,14.39,9.03,13.9,83.19,54.76,66.9,47.6,34.09,62.4,47.6,13.07,5.01,7.69,15.74,62.88,37.59,55.13,22.11,45.14,28.09
2009-12-16,32.93,38.85,46.38,50.45,189.68,54.19,35.4,35.21,27.32,56.08,39.13,42.61,157.38,38.33,35.02,48.6,13.83,29.01,15.91,128.36,25.19,46.16,26.21,74.32,16.19,32.69,120.46,68.75,24.04,28.56,29.28,50.55,53.17,41.85,15.06,23.96,27.23,26.41,23.58,24.45,14.34,9.13,13.9,84.13,54.8,66.77,47.29,34.15,62.2,47.94,13.25,5.37,7.74,15.79,62.21,38.05,55.51,22.08,44.99,28.16
2009-12-17,32.51,38.08,45.95,49.84,186.59,53.62,34.75,34.45,26.86,55.33,39.05,41.97,153.5,37.54,34.17,48.09,13.92,28.58,15.75,126.91,25.11,45.96,25.56,73.18,15.82,32.0,119.23,67.77,24.25,27.99,29.53,49.28,52.53,41.25,14.65,23.35,26.74,26.26,23.12,24.21,14.32,9.03,13.8,83.11,54.3,65.58,46.72,33.68,61.36,47.2,13.29,5.09,7.75,15.82,62.02,37.05,55.06,21.83,44.81,27.65
2009-12-18,32.24,38.14,45.88,48.9,190.07,53.12,35.18,34.33,27.55,54.67,39.31,43.25,155.66,37.42,33.55,48.18,13.74,28.64,15.82,128.48,25.28,46.22,25.53,73.64,15.94,32.61,119.71,67.87,24.91,27.87,29.51,48.58,52.22,41.35,14.82,23.34,26.69,26.13,23.47,24.33,14.32,9.31,13.82,82.92,54.26,65.8,46.84,33.92,61.12,48.07,13.29,5.14,7.7,16.14,62.01,37.67,55.29,21.97,45.06,27.72
2009-12-21,32.76,38.62,46.33,49.69,192.79,54.01,35.51,34.35,27.7,55.67,40.13,43.67,157.82,37.7,33.52,48.68,13.72,28.58,16.08,132.79,25.33,45.87,25.65,74.06,16.06,32.57,120.4,68.4,25.43,28.12,30.57,49.83,52.6,41.11,15.06,23.23,27.53,26.41,23.82,24.31,14.67,9.3,13.98,82.36,54.04,65.74,46.75,33.45,61.43,48.53,13.65,5.24,7.8,15.88,62.28,38.54,55.72,22.26,45.46,27.95
2009-12-22,32.92,38.99,45.97,50.42,194.86,54.15,38.56,34.75,27.97,55.45,39.46,43.55,157.01,37.7,33.85,48.62,13.64,29.13,16.08,133.75,25.23,46.23,25.69,74.54,15.9,32.87,121.6,68.39,25.27,28.6,30.58,50.63,52.86,41.68,15.11,25.7,26.77,26.71,23.63,24.58,14.62,9.52,13.86,83.41,54.04,65.21,47.35,33.74,61.09,48.97,13.65,5.16,7.89,15.98,62.34,38.58,56.0,22.36,45.38,28.39
2009-12-23,32.68,38.8,45.49,50.29,196.55,54.19,40.09,34.57,28.06,55.46,39.55,43.69,156.08,37.79,34.28,48.6,13.67,29.36,16.06,138.94,25.25,46.55,25.7,74.75,15.82,33.1,121.66,68.0,24.98,28.91,30.37,51.1,53.25,41.93,14.98,24.35,26.6,26.45,23.34,24.64,14.51,9.69,13.76,83.75,54.05,64.84,47.76,33.93,61.09,49.0,13.87,5.2,7.86,16.67,62.05,38.23,56.34,22.39,45.19,28.32
2009-12-24,32.94,39.24,45.71,50.77,203.3,54.44,40.62,34.73,28.13,55.26,39.68,43.73,156.4,37.66,34.32,48.86,13.7,29.31,16.07,138.47,25.21,46.76,25.77,75.08,15.88,33.24,122.2,68.34,25.2,29.23,30.42,51.51,53.26,43.84,15.03,24.93,26.54,26.6,23.81,24.82,14.64,9.74,13.96,84.91,54.02,64.74,48.39,34.0,61.21,49.35,14.31,5.1,7.96,16.72,62.42,38.54,56.4,22.56,45.32,28.42
2009-12-28,33.12,38.65,46.18,50.46,205.8,54.62,39.7,34.88,28.29,55.58,39.2,44.11,156.2,37.57,34.16,49.21,13.61,29.58,16.1,139.31,25.14,46.68,25.77,75.89,15.78,33.67,123.82,68.64,24.88,29.47,30.66,51.88,53.43,43.12,15.07,26.08,26.49,26.61,23.49,25.01,14.42,9.81,13.91,84.55,54.0,65.25,48.35,34.27,61.42,49.25,14.12,5.05,7.8,16.88,62.8,38.38,56.57,22.68,45.96,28.6
2009-12-29,32.89,38.49,46.12,50.52,203.36,54.57,39.7,34.86,28.49,55.6,39.02,44.09,156.55,37.53,34.09,49.32,13.7,29.35,16.04,139.41,25.28,46.78,25.9,76.51,15.79,33.61,123.39,68.15,24.82,29.63,30.9,51.81,53.13,42.69,14.91,26.21,26.69,26.69,23.38,24.98,14.42,9.72,13.94,85.06,54.29,66.08,48.37,34.35,61.4,49.07,13.85,4.96,7.93,16.92,62.58,38.17,56.55,22.69,45.97,28.6
2009-12-30,33.01,38.41,45.92,50.29,205.83,54.75,39.48,34.9,28.1,55.59,38.55,44.24,159.01,37.53,34.0,49.5,13.62,29.3,15.99,136.49,24.95,46.59,25.87,76.3,15.78,33.16,124.07,68.53,24.95,29.78,30.96,51.53,53.01,42.62,14.86,25.33,26.51,26.57,23.95,25.02,14.47,9.61,13.94,84.41,54.1,65.61,48.38,33.95,61.53,49.41,14.31,4.96,8.01,16.98,62.52,38.2,55.93,22.77,45.96,28.43
2009-12-31,33.06,38.15,45.34,49.53,204.95,54.3,38.65,34.7,27.66,55.0,37.58,43.69,161.05,37.21,33.63,48.72,13.42,29.0,15.72,134.52,24.6,46.41,25.57,75.18,15.59,32.74,122.51,67.95,25.11,29.45,30.49,50.99,52.04,42.32,14.85,24.82,26.41,26.38,24.02,24.74,14.37,9.62,13.81,84.16,53.45,64.95,47.67,33.9,61.06,48.08,13.89,4.92,7.82,16.78,61.99,38.33,55.53,22.54,45.17,28.19
2010-01-04,34.04,38.52,45.94,51.41,208.14,54.69,40.15,35.29,28.09,55.48,37.93,43.97,165.09,37.53,34.16,49.43,13.71,30.02,16.36,133.9,24.94,44.86,25.59,75.5,15.78,34.03,123.96,69.78,25.41,29.96,31.22,52.45,53.46,43.23,15.47,24.74,26.67,26.15,23.97,24.97,15.35,9.89,14.15,85.08,53.88,66.24,47.34,34.69,61.97,48.96,14.07,4.97,7.98,17.1,62.86,39.47,55.83,23.25,45.98,28.72
2010-01-05,34.07,38.44,45.28,53.09,208.5,55.35,39.72,34.35,28.1,55.53,37.25,43.69,168.01,37.83,33.88,48.94,13.78,29.88,16.13,134.69,25.09,44.81,25.28,75.03,15.57,33.6,122.46,70.27,26.11,29.67,31.09,52.57,54.1,43.57,15.97,24.28,26.37,26.34,23.84,26.19,15.75,10.54,14.11,83.77,53.9,66.93,47.45,34.45,62.07,49.17,14.38,4.99,7.99,17.23,63.11,40.23,55.4,23.15,46.06,28.02
2010-01-06,34.32,39.06,44.64,54.7,205.18,54.8,40.95,33.95,27.93,54.84,36.74,44.71,166.22,37.74,33.63,48.83,13.71,29.85,16.07,132.25,25.16,44.65,25.27,76.09,15.46,33.58,121.66,70.28,26.15,29.77,30.82,52.56,54.27,43.52,16.16,24.12,26.3,26.25,23.66,26.37,16.14,10.93,14.03,84.84,53.64,65.95,47.46,34.15,62.02,48.71,14.1,5.14,7.91,17.17,63.65,40.45,54.65,23.0,46.24,27.78
2010-01-07,34.19,39.69,45.19,56.92,204.8,54.45,41.0,34.07,27.64,54.48,36.06,45.89,169.47,37.59,33.83,48.86,14.41,29.8,16.01,130.0,25.26,44.26,25.21,76.15,15.78,33.4,121.24,70.02,27.1,30.07,31.95,52.44,54.49,42.31,16.69,23.66,26.03,26.56,23.73,26.3,16.26,11.21,14.16,83.79,53.35,64.14,47.92,33.57,62.2,48.73,14.24,5.18,7.95,16.7,63.45,41.25,55.05,23.1,46.71,27.32
2010-01-08,34.48,39.66,46.16,56.37,206.16,54.27,40.55,33.75,27.83,54.14,36.83,46.23,166.27,36.92,33.87,48.61,14.73,30.41,16.14,133.52,25.31,44.62,24.74,76.69,15.73,33.51,122.46,70.14,26.85,29.68,32.18,52.76,55.1,41.99,16.54,24.29,26.07,26.43,24.28,26.33,16.04,11.24,14.06,85.76,53.28,65.17,47.83,34.34,62.2,49.09,14.37,5.2,7.92,16.7,63.2,41.15,54.99,23.22,46.46,27.69
2010-01-11,34.68,39.21,46.64,55.7,204.34,54.21,40.85,34.19,27.47,54.07,37.51,47.26,163.64,36.76,33.93,49.42,14.87,30.6,16.27,130.31,25.26,45.42,25.24,76.38,15.63,34.07,121.18,71.39,26.79,29.96,32.11,53.54,58.56,42.12,16.69,24.53,26.44,25.68,23.96,26.21,15.88,11.65,14.06,86.2,53.07,65.48,47.86,34.52,63.35,48.94,14.37,5.19,8.12,16.74,63.91,41.01,55.42,23.16,46.5,27.85
2010-01-12,33.95,39.73,46.64,55.3,202.02,54.97,40.17,34.25,27.29,54.4,35.65,46.24,160.08,36.54,33.64,49.89,14.88,31.57,16.22,127.35,25.04,44.92,25.51,76.44,15.35,33.79,122.14,70.97,26.12,29.73,31.76,52.6,56.83,42.68,16.13,23.56,25.83,25.52,22.96,26.66,15.62,11.42,13.86,89.5,53.68,65.47,47.84,35.87,62.97,48.51,14.57,5.29,8.18,16.68,63.59,40.06,55.72,22.79,46.55,27.78
